SM.ratio	short	BM online	LWL description	BMSat description
0.94	478	True	"The front of the velocipede *BRACKETED* is in the normal shape, and is ridden by a dandy; the bar is elongated and dropped to give space for a seat on which a lady sits, wearing an enormous bonnet. At the back is a much lower seat, like a dickey, behind the back wheel. In this sits a groom, with his feet on a foot-rest, working the wheel by handles attached to the hubs. In the background *BRACKETED* is a similar machine, carrying three." - -British Museum online catalogue.	The front of the velocipede *BRACKETED* is in the normal shape, and is ridden by a dandy; the bar is elongated and dropped to give space for a seat on which a lady sits, wearing an enormous bonnet. At the back is a much lower seat, like a dickey, behind the back wheel. In this sits a groom, with his feet on a foot-rest, working the wheel by handles attached to the hubs. In the background *BRACKETED* is a similar machine, carrying three. Plate numbered 332.
0.98	886	True	"Two officers on high stools face each other at the counter of a fruit-shop and confectioner's. One *BRACKETED* , tall, lank, and elderly *BRACKETED* , devours a jelly; empty jelly-glasses strew the counter beside him. The other, a mere child, his legs dangling, eats from a large cornet of *TRANSCRIBED* . A buxom woman behind the counter brings a tray of jellies in glasses. In the doorway *BRACKETED* a third officer, extremely fat and grotesquely knock-kneed, stands with his hands clasped behind him watching a coroneted coach driving past with two footmen in feathered hats standing behind. The officers wear large plumed cocked hats, spurred jack-boots, and sabres. Each pane of the large shop window *BRACKETED* is decoratively filled with fruit, jars, jelly-glasses, &c. A pottle of strawberries and a partly peeled orange lie on the floor." - -British Museum online catalogue.	Two officers on high stools face each other at the counter of a fruit-shop and confectioner's. One *BRACKETED* , tall, lank, and elderly *BRACKETED* , devours a jelly; empty jelly-glasses strew the counter beside him. The other, a mere child, his legs dangling, eats from a large cornet of *TRANSCRIBED* . A buxom woman behind the counter brings a tray of jellies in glasses. In the doorway *BRACKETED* a third officer, extremely fat and grotesquely knock-kneed, stands with his hands clasped behind him watching a coroneted coach driving past with two footmen in feathered hats standing behind. The officers wear large plumed cocked hats, spurred jack-boots, and sabres. Each pane of the large shop window *BRACKETED* is decoratively filled with fruit, jars, jelly-glasses, &c. A pottle of strawberries and a partly peeled orange lie on the floor.
0.89	367	True	"A headless man with only one leg stands with his instep supported on the point of a cone which rests on a rectangular pedestal inscribed *TRANSCRIBED* . A peg supplies the place of a head. His hands are behind his back under his coat-tails, through which projects the riding-whip which he is holding. He wears a spurred top-boot." - -British Museum online catalogue.	A headless man with only one leg stands with his instep supported on the point of a cone which rests on a rectangular pedestal inscribed *TRANSCRIBED* . A peg supplies the place of a head. His hands are behind his back under his coat-tails, through which projects the riding-whip which he is holding. He wears a spurred top-boot. Beneath the design is etched: *TRANSCRIBED* .
0.98	1362	True	"The shield is a dandy's tail-coat with a pinched waist, in back view, the sleeves hooked over the left arm of the dexter supporter, and the right arm of the sinister supporter, these being dandies with the heads of apes and wearing fool's caps. From each drooping sleeve hangs a short *BRACKETED* glove. The coat is divided by its seams, the centre-seam bisects the small figure of a dandy who is half-man, half-woman. The coat is further decorated by butterflies, stays, shirt-frill, &c. On the coat-tails are a *BRACKETED* pair of breeches and two large pins. A chain is slung over the sleeves and hangs across the hips, supporting an eye-glass. The crest is a pair of tightly laced stays supporting a bulging bust, an elongated cravat, and high collar framing a wig-block with blank features and large ass's ears, and surmounted by a bell-shaped top-hat. Each supporter holds a tubular bottle of *TRANSCRIBED* . The motto: *TRANSCRIBED* is on a scroll formed of a widely extended pair of *BRACKETED* white trousers; from this hangs, like the Order of the Fleece, a small dog. This is: *TRANSCRIBED* *BRACKETED* . The coat is also held erect by a centre pole, and by two spurred boots, sole upwards, each resting on a toe of one of the supporters who are poised mincingly on the trousers. Below the design: *TRANSCRIBED* ." - -British Museum online catalogue.	The shield is a dandy's tail-coat with a pinched waist, in back view, the sleeves hooked over the left arm of the dexter supporter, and the right arm of the sinister supporter, these being dandies with the heads of apes and wearing fool's caps. From each drooping sleeve hangs a short *BRACKETED* glove. The coat is divided by its seams, the centre-seam bisects the small figure of a dandy who is half-man, half-woman. The coat is further decorated by butterflies, stays, shirt-frill, &c. On the coat-tails are a *BRACKETED* pair of breeches and two large pins. A chain is slung over the sleeves and hangs across the hips, supporting an eye-glass. The crest is a pair of tightly laced stays supporting a bulging bust, an elongated cravat, and high collar framing a wig-block with blank features and large ass's ears, and surmounted by a bell-shaped top-hat. Each supporter holds a tubular bottle of *TRANSCRIBED* . The motto: *TRANSCRIBED* is on a scroll formed of a widely extended pair of *BRACKETED* white trousers; from this hangs, like the Order of the Fleece, a small dog. This is: *TRANSCRIBED* *BRACKETED* . The coat is also held erect by a centre pole, and by two spurred boots, sole upwards, each resting on a toe of one of the supporters who are poised mincingly on the trousers. Below the design: *TRANSCRIBED* Plate numbered 326.
0.97	714	True	"Two women, seemingly courtesans, stand together by an arcade of the Piazza, Covent Garden, a place notorious for brothels. One stands full face her features, hair, and the hat which frames her hair like a halo are intended to suggest a sunflower. She holds up a small parasol with a hinged stick. The other, directed to the left, holds a closed parasol; she wears a cylindrical bonnet projecting over face and neck. Both wear clinging high-waisted dresses, with bare necks, short sleeves, long gloves, and trailing skirts. Behind is a man arranging pot-plants for sale in the market; where are also conifers. The portico of the church and adjacent buildings form a background." - -British Museum online interview.	Two women, seemingly courtesans, stand together by an arcade of the Piazza, Covent Garden, a place notorious for brothels. One stands full face her features, hair, and the hat which frames her hair like a halo are intended to suggest a sunflower. She holds up a small parasol with a hinged stick. The other, directed to the left, holds a closed parasol; she wears a cylindrical bonnet projecting over face and neck. Both wear clinging high-waisted dresses, with bare necks, short sleeves, long gloves, and trailing skirts. Behind is a man arranging pot-plants for sale in the market; where are also conifers. The portico of the church and adjacent buildings form a background.
0.99	1624	True	"Vesuvius in eruption ejects an inverted cone of flame, while streams of flaming lava pour down its sides and have already surrounded *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* ). Another stream has almost reached London, which is directly in front of the mountain and is represented by St. Paul's and the gateway of St. James's Palace. In order to avert the calamity a ramshackle procession advances in the foreground from the right. Sheridan, as a cardinal, walks in profile to the left, holding up the head of Fox in both hands. His hat has the crown of a bonnet-rouge. His tattered robes are held up by two train-bearers, the diminutive M. A. Taylor and Lord Derby; their rents reveal a bare thigh and ill-gartered stockings over bare feet. Beside Sheridan walks a dog with a human profile, Grafton, as in BMSat 8457. *BRACKETED* In front of Sheridan walks Lauderdale, carrying bell, book *BRACKETED* , and candle *BRACKETED* . Behind *BRACKETED* the two train-bearers are the Duke of Norfolk holding up his cap of *TRANSCRIBED* on his staff of hereditary Earl-Marshal, and Lord Stanhope holding two bundles of flaming matches. Their followers on the extreme right are indicated by caps, spears, and a tricolour flag inscribed *TRANSCRIBED* and *TRANSCRIBED* . A thunderbolt descends upon *TRANSCRIBED* , which is in flames. All the sansculottes are literally without breeches and all have bonnets-rouges. They appear more ready to welcome the catastrophe than anxious to avert it. In the coloured impression the flame and lava from Vesuvius and the robes of Sheridan are tricolour." - -British Museum online catalogue.	Vesuvius in eruption ejects an inverted cone of flame, while streams of flaming lava pour down its sides and have already surrounded *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* ). Another stream has almost reached London, which is directly in front of the mountain and is represented by St. Paul's and the gateway of St. James's Palace. In order to avert the calamity a ramshackle procession advances in the foreground from the right. Sheridan, as a cardinal, walks in profile to the left, holding up the head of Fox in both hands. His hat has the crown of a bonnet-rouge. His tattered robes are held up by two train-bearers, the diminutive M. A. Taylor and Lord Derby; their rents reveal a bare thigh and ill-gartered stockings over bare feet. Beside Sheridan walks a dog with a human profile, Grafton, as in BMSat 8457. *BRACKETED* In front of Sheridan walks Lauderdale, carrying bell, book *BRACKETED* , and candle *BRACKETED* . Behind *BRACKETED* the two train-bearers are the Duke of Norfolk holding up his cap of *TRANSCRIBED* on his staff of hereditary Earl-Marshal, and Lord Stanhope holding two bundles of flaming matches. Their followers on the extreme right are indicated by caps, spears, and a tricolour flag inscribed *TRANSCRIBED* and *TRANSCRIBED* . A thunderbolt descends upon *TRANSCRIBED* , which is in flames. All the sansculottes are literally without breeches and all have bonnets-rouges. They appear more ready to welcome the catastrophe than anxious to avert it. In the coloured impression the flame and lava from Vesuvius and the robes of Sheridan are tricolour.
0.98	857	True	"Bonaparte, burlesqued, stands, swaggering, with legs astride, head in profile to the left. In his right hand is a sabre, dripping blood, inscribed *TRANSCRIBED* ; he holds out the scabbard *BRACKETED* in his left hand. Under his right foot is a torn paper headed *TRANSCRIBED* . He wears an enormous cocked hat decorated with feathers, aigrette, tricolour cockade, and crescent. The skirts of his double-breasted military coat fly back, reaching to the ground behind; round his waist is a voluminous fringed sash, in which are thrust a pistol and a jewelled dagger. He declaims, the words in a large label which floats up to the upper margin: *TRANSCRIBED* " A French dispatch rider, dismounted from a camel whose head is on the left, stands full-face, gaping at the general, hat in hand and with a bundle, *TRANSCRIBED* - -British Museum online catalogue.	Bonaparte, burlesqued, stands, swaggering, with legs astride, head in profile to the left. In his right hand is a sabre, dripping blood, inscribed *TRANSCRIBED* ; he holds out the scabbard *BRACKETED* in his left hand. Under his right foot is a torn paper headed *TRANSCRIBED* . He wears an enormous cocked hat decorated with feathers, aigrette, tricolour cockade, and crescent. The skirts of his double-breasted military coat fly back, reaching to the ground behind; round his waist is a voluminous fringed sash, in which are thrust a pistol and a jewelled dagger. He declaims, the words in a large label which floats up to the upper margin: *TRANSCRIBED* " A French dispatch rider, dismounted from a camel whose head is on the left, stands full-face, gaping at the general, hat in hand and with a bundle, *TRANSCRIBED* .
0.95	406	True	"A handsome advocate in wig and gown addresses a vast but comely lady who stands full face. They are on a broad pavement outside *BRACKETED* the Session House, before which marches a sentry. On the left. is an equestrian statue. A brief-bag hangs from his arm; from her wrist dangles a tiny sunshade. Below the title: *TRANSCRIBED* said she *TRANSCRIBED* - *TRANSCRIBED* - -British Museum online catalogue.	A handsome advocate in wig and gown addresses a vast but comely lady who stands full face. They are on a broad pavement outside *BRACKETED* the Session House, before which marches a sentry. On the left. is an equestrian statue. A brief-bag hangs from his arm; from her wrist dangles a tiny sunshade. Below the title: *TRANSCRIBED* said she *TRANSCRIBED* - *TRANSCRIBED* .
0.97	1024	True	"Birmingham brass-founders have cast a large brazen head, representing Sir Charles Wolseley, and are about to place it upon a full-dressed effigy without a head, which two men hold erect under a tripod. Two workmen carry the head from a furnace *BRACKETED* towards the tripod; a third who stands behind says: *TRANSCRIBED* One of the pair, who strain under the weight, answers: *TRANSCRIBED* The other adds: *TRANSCRIBED* The *BRACKETED* body is under the tripod from which hang ropes by which the head is to be hoisted into position. One of the men holding the ropes looks round to ask: *TRANSCRIBED* Two of the others say: *TRANSCRIBED* and *TRANSCRIBED* Behind them *BRACKETED* is a furnace. From the right workmen hurry forward, one carrying two large cans of beer; one of them shouts: *TRANSCRIBED* On the left lie the moulds in which the head and limbs have been cast. Tools and tankards are also on the ground. Through an opening in the wall behind the men are seen smoking kilns." - -British Museum online catalogue.	Birmingham brass-founders have cast a large brazen head, representing Sir Charles Wolseley, and are about to place it upon a full-dressed effigy without a head, which two men hold erect under a tripod. Two workmen carry the head from a furnace *BRACKETED* towards the tripod; a third who stands behind says: *TRANSCRIBED* One of the pair, who strain under the weight, answers: *TRANSCRIBED* The other adds: *TRANSCRIBED* The *BRACKETED* body is under the tripod from which hang ropes by which the head is to be hoisted into position. One of the men holding the ropes looks round to ask: *TRANSCRIBED* Two of the others say: *TRANSCRIBED* and *TRANSCRIBED* Behind them *BRACKETED* is a furnace. From the right workmen hurry forward, one carrying two large cans of beer; one of them shouts: *TRANSCRIBED* On the left lie the moulds in which the head and limbs have been cast. Tools and tankards are also on the ground. Through an opening in the wall behind the men are seen smoking kilns. Plate numbered 360.
0.98	1362	True	"A bull, chained, muzzled, and blindfolded, his horns tipped, but snorting fire, is baited by dogs urged on by Pitt who runs forward *BRACKETED* , holding heavy chains labelled *TRANSCRIBED* . Pitt points at the bull, shouting, *TRANSCRIBED* From his pocket hangs a paper inscribed *TRANSCRIBED* . Pitt and his dogs are hurrying from the Treasury, over the gate of which the word Treasury has been scored through by Rose, who stands on a ladder on the extreme right, painting the word *TRANSCRIBED* in large letters. A rose takes the place of his head; in his left hand is his paint-pot inscribed *TRANSCRIBED* Yellow" . The bull's legs are chained to a post inscribed *TRANSCRIBED* ; he is snorting *TRANSCRIBED* The dogs have human heads and inscribed collars. The two foremost are *TRANSCRIBED* . The Duke of Richmond *BRACKETED* is on the bull's back, biting his ear. Behind are *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , and a dog perhaps intended for Carmarthen. In the foreground, lying on a heap of Tobacco which has fallen from a cask so inscribed *BRACKETED* , is Thurlow, a dog with the head and wig of Thurlow, his collar inscribed *TRANSCRIBED* , fiercely gnawing a large bone inscribed *TRANSCRIBED* at one end and *TRANSCRIBED* at the other, while he glares up at Pitt." - -British Museum online catalogue.	A bull, chained, muzzled, and blindfolded, his horns tipped, but snorting fire, is baited by dogs urged on by Pitt who runs forward *BRACKETED* , holding heavy chains labelled *TRANSCRIBED* . Pitt points at the bull, shouting, *TRANSCRIBED* From his pocket hangs a paper inscribed *TRANSCRIBED* . Pitt and his dogs are hurrying from the Treasury, over the gate of which the word Treasury has been scored through by Rose, who stands on a ladder on the extreme right, painting the word *TRANSCRIBED* in large letters. A rose takes the place of his head; in his left hand is his paint-pot inscribed *TRANSCRIBED* Yellow <<CLOSE . The bull's legs are chained to a post inscribed *TRANSCRIBED* ; he is snorting *TRANSCRIBED* The dogs have human heads and inscribed collars. The two foremost are *TRANSCRIBED* . The Duke of Richmond *BRACKETED* is on the bull's back, biting his ear. Behind are *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , and a dog perhaps intended for Carmarthen. In the foreground, lying on a heap of Tobacco which has fallen from a cask so inscribed *BRACKETED* , is Thurlow, a dog with the head and wig of Thurlow, his collar inscribed *TRANSCRIBED* , fiercely gnawing a large bone inscribed *TRANSCRIBED* at one end and *TRANSCRIBED* at the other, while he glares up at Pitt.
0.93	811	True	"A little boy *BRACKETED* in a frock and cross-gartered shoes, with short, untidy hair, stands agressively, one foot raised to kick, fists clenched. At his feet are a battledore and shuttlecock and a doll; above his head hangs a canary in a cage. He shouts: I dont like Dolls!-I dont like Canary Birds-I hate Battledore and Shuttlecock, I like Drums, and Trumpets-I wont go to school-I will stay at home-I will have my own way in every thing!! The mother, an ugly middle-aged woman *BRACKETED* , in an old-fashioned dress, with a cap and apron, stoops towards him, saying, Bless the Baby-what an aspiring spirit-if he goes on in this way-he will be a second Buonaparte! Behind her *BRACKETED* stands a pretty nursemaid holding a younger child who screams and waves a rattle." - -British Museum online catalogue.	A little boy *BRACKETED* in a frock and cross-gartered shoes, with short, untidy hair, stands agressively, one foot raised to kick, fists clenched. At his feet are a battledore and shuttlecock and a doll; above his head hangs a canary in a cage. He shouts: I dont like Dolls!—I dont like Canary Birds—I hate Battledore and Shuttlecock, I like Drums, and Trumpets—I wont go to school—I will stay at home—I will have my own way in every thing!! The mother, an ugly middle-aged woman *BRACKETED* , in an old-fashioned dress, with a cap and apron, stoops towards him, saying, Bless the Baby—what an aspiring spirit—if he goes on in this way—he will be a second Buonaparte! Behind her *BRACKETED* stands a pretty nursemaid holding a younger child who screams and waves a rattle. One of the prints in No. 11133. Cf. Nos. 11146, 11616.
0.74	2153	True	Adapted from a broadside published by J. Quick: The manager's last kick, or The distruction of the boroughmongers. *TRANSCRIBED* . Russell, saying *TRANSCRIBED* , leads the *TRANSCRIBED* , which snorts *TRANSCRIBED* . The King: *TRANSCRIBED* The ground on which they stand is *TRANSCRIBED* . The most conspicuous *TRANSCRIBED* is Sir R. Wilson in uniform with a kettle labelled *TRANSCRIBED* tied to his coat-tail; he holds two papers: *TRANSCRIBED* and *TRANSCRIBED* . Others include Wetherell saying *TRANSCRIBED* , Peel saying *TRANSCRIBED* . Hunt's top-booted legs protrude from a blacking jar labelled *TRANSCRIBED* . The members for Westminster try to save themselves, Hobhouse by clinging to the top of the pit, inscribed *TRANSCRIBED* , Burdett by clinging to Hobhouse's coat-tails; in the latter's pockets are *TRANSCRIBED* and *TRANSCRIBED* ; he says: *TRANSCRIBED* . Other boroughs named, each with its doomed M.P. *BRACKETED* are *TRANSCRIBED* ; *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* . O'Connell, waist-deep near *TRANSCRIBED* , holds up his arms to the Westminster M.P.'s, shouting, *TRANSCRIBED* . John Bull *BRACKETED* , obese and jolly, watches the doomed anti-Reformers, waving his hat and shouting *TRANSCRIBED* Behind *BRACKETED* is the façade of Bethlehem Hospital *BRACKETED* with a lunatic waving from each window: *TRANSCRIBED* ; *TRANSCRIBED* ; one of them is Wellington saying *TRANSCRIBED* . They are *TRANSCRIBED* . Below are the verses of a street poet and *TRANSCRIBED* . The naive text is applicable to the election of 1831, not to that of 1832, but such street papers are without accuracy. The seventh of eight verses, contrasting William IV with George IV: William is a Sailor bold sir, And on the waves he has often roll'd, sir, He wants no Marquesses wives or Daughters, To spend his time at Virginea waters, He goes to neither Parks or Races, A slobbering ladies' pretty faces, He guides the helm and keeps his station, And knows what is wanted through the nation." - -British Museum online catalogue.	A crude, confused, and complicated design, the characters unrecognizable. William IV, riding *TRANSCRIBED* *BRACKETED* and accompanied by his Ministers, notably Brougham using the Mace as a broom, chases boroughmongers who fall head first into a pit *BRACKETED* , the *TRANSCRIBED* . Russell, saying *TRANSCRIBED* *BRACKETED* , leads the *TRANSCRIBED* , which snorts *TRANSCRIBED* . The King: *TRANSCRIBED* The ground on which they stand is *TRANSCRIBED* . The most conspicuous *TRANSCRIBED* is Sir R. Wilson in uniform with a kettle labelled *TRANSCRIBED* tied to his coat-tail; he holds two papers: *TRANSCRIBED* *BRACKETED* and *TRANSCRIBED* *BRACKETED* . Others include Wetherell saying *TRANSCRIBED* , Peel saying *TRANSCRIBED* . Hunt's top-booted legs protrude from a blacking jar labelled *TRANSCRIBED* *BRACKETED* . The members for Westminster try to save themselves, Hobhouse by clinging to the top of the pit, inscribed *TRANSCRIBED* , Burdett by clinging to Hobhouse's coat-tails; in the latter's pockets are *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* ; he says: *TRANSCRIBED* . Other boroughs named, each with its doomed M.P. *BRACKETED* are *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* . O'Connell, waist-deep near *TRANSCRIBED* , holds up his arms to the Westminster M.P.'s, shouting, *TRANSCRIBED* . John Bull *BRACKETED* , obese and jolly, watches the doomed anti-Reformers, waving his hat and shouting *TRANSCRIBED* Behind *BRACKETED* is the façade of Bethlehem Hospital *BRACKETED* with a lunatic waving from each window: *TRANSCRIBED* ; *TRANSCRIBED* ; one of them is Wellington saying *TRANSCRIBED* . They are *TRANSCRIBED* . Below are the verses of a street poet and *TRANSCRIBED* . The naive text is applicable to the election of 1831, not to that of 1832, but such street papers are without accuracy. The seventh of eight verses, contrasting William IV with George IV: William is a Sailor bold sir, And on the waves he has often roll'd, sir, He wants no Marquesses wives or Daughters, To spend his time at Virginea waters, He goes to neither Parks or Races, A slobbering ladies' pretty faces, He guides the helm and keeps his station, And knows what is wanted through the nation.
0.97	660	True	"A terrified French civilian is about to be impaled on a spike planted in the desert. He is carried by two Turks, in a sitting posture, one supporting his legs, and clasps in the left hand a paper: *TRANSCRIBED* , while in the right is raised a large volume: *TRANSCRIBED* . A Mohammedan priest follows the group, declaiming from his open *TRANSCRIBED* . A stout Turk with a long spear stands *BRACKETED* facing the victim and directing operations. In the background is a Frenchman holding on his head a large turban, his discarded hat lying on the ground. He looks over his shoulder with a grin at the impending execution." - -British Museum online catalogue.	A terrified French civilian is about to be impaled on a spike planted in the desert. He is carried by two Turks, in a sitting posture, one supporting his legs, and clasps in the left hand a paper: *TRANSCRIBED* , while in the right is raised a large volume: *TRANSCRIBED* . A Mohammedan priest follows the group, declaiming from his open *TRANSCRIBED* . A stout Turk with a long spear stands *BRACKETED* facing the victim and directing operations. In the background is a Frenchman holding on his head a large turban, his discarded hat lying on the ground. He looks over his shoulder with a grin at the impending execution.
0.98	794	True	"Design in an oval. A travesty of the cameo known as the Marlborough Gem, now in the Museum of Fine Arts at Boston. The figures are light on a dark ground, as in the original. Miss Farren, tall, thin, with butterfly wings, her dress approximating to contemporary fashion, walks *BRACKETED* on Lord Derby's left. He has the wings of Cupid, clipped, and is almost nude, with the fat limbs of a child together with a heavy paunch. He holds a dove, putting its beak to his lips. His scanty hair is in a small tail. Both are veiled. They are preceded by two winged boys, one with the torch of Hymen. A third follows, wearing a fool's cap simulating a cap of Liberty; he holds up an earl's coronet towards the bride, in place of the tray of fruit of the original." - -British Museum online catalogue.	Design in an oval. A travesty of the cameo known as the Marlborough Gem, now in the Museum of Fine Arts at Boston. The figures are light on a dark ground, as in the original. Miss Farren, tall, thin, with butterfly wings, her dress approximating to contemporary fashion, walks *BRACKETED* on Lord Derby's left. He has the wings of Cupid, clipped, and is almost nude, with the fat limbs of a child together with a heavy paunch. He holds a dove, putting its beak to his lips. His scanty hair is in a small tail. Both are veiled. They are preceded by two winged boys, one with the torch of Hymen. A third follows, wearing a fool's cap simulating a cap of Liberty; he holds up an earl's coronet towards the bride, in place of the tray of fruit of the original.
0.91	357	True	"George IV, seated on a Chinese throne with Chinese attendants, addresses a group of Ministers, &c. *BRACKETED* : Liverpool, Eldon, Canning, with a paper headed *TRANSCRIBED* in his pocket *BRACKETED* , Copley and Gifford. P. 9: H, for the hubbub the Archer intended, By one *TRANSCRIBED* should be presently ended. ..." " --British Museum online catalogue.	See No. 13948. George IV, seated on a Chinese throne with Chinese attendants, addresses a group of Ministers, &c. *BRACKETED* : Liverpool, Eldon, Canning, with a paper headed *TRANSCRIBED* in his pocket *BRACKETED* , Copley and Gifford. P. 9: H, for the hubbub the Archer intended, By one *TRANSCRIBED* should be presently ended. . . .
0.91	370	True	"A companion print to British Museum Satires no. 6949. Design in a circle. The Prince of Wales *BRACKETED* and Mrs. Fitzherbert *BRACKETED* sit side by side on two upright chairs; she holds on her knee an infant in long clothes, which the Prince watches paternally. Behind her *BRACKETED* is a cradle decorated with ostrich feathers." - -British Museum online catalogue.	A companion print to BMSat 6949. Design in a circle. The Prince of Wales *BRACKETED* and Mrs. Fitzherbert *BRACKETED* sit side by side on two upright chairs; she holds on her knee an infant in long clothes, which the Prince watches paternally. Behind her *BRACKETED* is a cradle decorated with ostrich feathers.
0.94	375	True	"Whole length portrait *BRACKETED* of a stout man walking in profile to left. His left hand is outspread on his protruding waistcoat. He wears a tasselled mortar-board, a very long and voluminous gown which rests on the ground. Except for his hair, which is in a doubled-up macaroni club, and ruffled shirt-sleeves, he is plainly dressed." - -British Museum online catalogue.	No.19: Whole length portrait *BRACKETED* of a stout man walking in profile to left. His left hand is outspread on his protruding waistcoat. He wears a tasselled mortar-board, a very long and voluminous gown which rests on the ground. Except for his hair, which is in a doubled-up macaroni club, and ruffled shirt-sleeves, he is plainly dressed.
0.96	484	True	"Seven men, closely grouped, fight and scuffle confusedly. On the ground *BRACKETED* are the arrows of the seven United Provinces, broken and separated, a cat plays with the ribbon which binds them *BRACKETED* . A National Guard has taken one of the arrows and drives it into the head of a man whose eye he tries to gouge out, and who grasps another antagonist by the wig. One raises a chair to smite, another empties a wine-bottle on an opponent." - -British Museum online catalogue.	Seven men, closely grouped, fight and scuffle confusedly. On the ground *BRACKETED* are the arrows of the seven United Provinces, broken and separated, a cat plays with the ribbon which binds them *BRACKETED* . A National Guard has taken one of the arrows and drives it into the head of a man whose eye he tries to gouge out, and who grasps another antagonist by the wig. One raises a chair to smite, another empties a wine-bottle on an opponent.
0.86	643	True	"A scene in a Florentine street or piazza in front of a Gothic shrine *BRACKETED* in which is a Virgin and child. Two blind beggars, each with a dog, are fighting. A well-dressed man walks off with their hats, looking at them over his shoulder with a smile. Spectators look from a window and a door. A penniless man of ancient family prays regularly to the Virgin for relief. On one occasion he hears two blind beggars at her shrine boasting of the wealth concealed in their hats; he thereupon runs away with the hats, confesses to a prelate, who approves, but insists on taking a major share of the spoil." - -British Museum online catalogue.	*TRANSCRIBED* , i. 123. Illustration to verses by Holcroft with the same title, pp. 151-3, said to be taken from *TRANSCRIBED* , published at Florence *TRANSCRIBED* . A scene in a Florentine street or piazza in front of a Gothic shrine *BRACKETED* in which is a Virgin and child. Two blind beggars, each with a dog, are fighting. A well-dressed man walks off with their hats, looking at them over his shoulder with a smile. Spectators look from a window and a door. A penniless man of ancient family prays regularly to the Virgin for relief. On one occasion he hears two blind beggars at her shrine boasting of the wealth concealed in their hats; he thereupon runs away with the hats, confesses to a prelate, who approves, but insists on taking a major share of the spoil.
0.95	1162	True	"A sequence of eight Napoleons arranged in two rows. *BRACKETED* As" A Ragged Headed Corsican Peasant" , he is a shock-headed boy registering tense determination, his hand plunged deep in the pockets of a tattered coat. *BRACKETED* A youth in civilian dress sits at a small table intently studying the plan of a fort: *TRANSCRIBED* . *BRACKETED* Dressed in officer's uniform but without a sword, he bows, hat in hand: *TRANSCRIBED* . *BRACKETED* He stands agressivelv hand on hip, r. arm extended, wearing a plumed bicorne and long sabre: *TRANSCRIBED* . *BRACKETED* He stands in Turkish dress, bowing with a furtive sideways glance; he wears a plumed turban and fur-trimmed robe: *TRANSCRIBED* . *BRACKETED* He runs hurriedly in profile to the left., wearing his cocked hat, but no sword: *TRANSCRIBED* . *BRACKETED* As *TRANSCRIBED* , he stands in uniform, without hat or sword, head bowed and hands crossed on his breast. *BRACKETED* In the last scene he sits enthroned, with the inscription: *TRANSCRIBED* . He wears a crown and long robe. The back of his throne is inscribed *TRANSCRIBED* - -British Museum online catalogue, description of an earlier state.	A companion pl. to BMSat 10981. A sequence of eight Napoleons arranged in two rows. *BRACKETED* As <<CLOSE A Ragged Headed Corsican Peasant <<CLOSE , he is a shock-headed boy registering tense determination, his hand plunged deep in the pockets of a tattered coat. *BRACKETED* A youth in civilian dress sits at a small table intently studying the plan of a fort: *TRANSCRIBED* . *BRACKETED* Dressed in officer's uniform but without a sword, he bows, hat in hand: *TRANSCRIBED* . *BRACKETED* He stands agressivelv hand on hip, r. arm extended, wearing a plumed bicorne and long sabre: *TRANSCRIBED* . *BRACKETED* He stands in Turkish dress, bowing with a furtive sideways glance; he wears a plumed turban and fur-trimmed robe: *TRANSCRIBED* . *BRACKETED* He runs hurriedly in profile to the left., wearing his cocked hat, but no sword: *TRANSCRIBED* . *BRACKETED* As *TRANSCRIBED* , he stands in uniform, without hat or sword, head bowed and hands crossed on his breast. *BRACKETED* In the last scene he sits enthroned, with the inscription: *TRANSCRIBED* . He wears a crown and long robe. The back of his throne is inscribed *TRANSCRIBED*
